57386	Вечные любовники	(Кесслер Джеки)	Входит в сборник "Таинство любви" Джесс Харрис и ее любимый, полицейский Пол Хэмилтон, - вполне обычные и счастливые жених и невеста... если не знать, конечно, о страшной тайне, которую Джесс скрывает от Пола. Ведь она далеко не та, за кого себя выдает! И однажды прошлое возвращается...		
3015	Сделка страсти	(Киддер Джейн)	Красавица Меган Тейлор, чтобы избежать замужества с крайне неприятным типом, хитростью и шантажом принуждает к браку богатого и влиятельного Джеффри Веллзли. Очаровательная плутовка всерьез уверена, что никому не будет вреда, ведь речь идет о фиктивном браке и взаимовыгодном деловом партнерстве. Но Джеффри так красив и мужественен, что очень скоро она влюбилась без памяти и решила превратить фиктивный брак в самый что ни на есть настоящий!		
7252	В поисках любви	(Кинкейд Кэтрин)	Где-то далеко в джунглях Индии затерялась заброшенная плантация, на поиски которой отправляется красавица англичанка Эмма Уайтфилд. Однако, дорога полна опасностей, и девушке необходим спутник, способный ее защитить. Свои услуги Эмме предлагает загадочный Александр Кингстон, отвергнутый чопорным колониальным обществом. Устоять перед магнетическим очарованием этого мужчины невозможно, но можно ли доверять ему, можно ли поверить в подлинность его чувства?		
3968	Благородный разбойник	(Кинсейл Лора)	Благородный разбойник по прозвищу Аллегрето намерен вернуть себе положение в высшем свете, которое должен занимать по праву рождения! И если ему придется обольстить прекрасную Элайн Монтеверде - что ж, Аллегрето привык использовать женщин в своих опасных играх! Однако на этот раз искушенный соблазнитель может пораниться собственным оружием - и влюбиться страстно, пылко, до безумия!..		
6756	Влюбленный опекун	(Кинсейл Лора)	Леди Тесс Коллир, дочь знаменитого путешественника, выросшая в дальних странствиях, неохотно согласилась исполнить последнюю волю умирающего отца - вернуться в Англию и устроить личную жизнь. Капитан Гриф Меридон столь же неохотно согласился принять на себя обязанности опекуна Тесс и подыскать ей подходящего мужа... Чем дальше, тем сильнее Гриф ненавидит многочисленных поклоников, вьющихся вокруг Тесс. Возможно, он просто не видит среди них достойного? Или ревнует? Впервые в жизни Меридон окунулся в омут подлинной страсти - и не желает отдавать любимую женщину другому. А что же леди Тесс? Кого выберет она?		
3036	Летняя луна	(Кинсейл Лора)	Лорд Рэнсом Фальконе пытается разыскать изобретателя, чьи открытия помогут Англии в борьбе против наполеоновской Франции. Совершенно неожиданно выясняется, что это... очаровательная Мерлин Ламбурне, своей красотой способная затмить самых блистательных дам высшего света. Охваченный всепоглощающей страстью, Рэнсом готов пойти на скандал, даже пожертвовать жизнью и положением в обществе, чтобы преодолеть все препятствия и завоевать любовь гордой красавицы.		
860	Летящая на пламя	(Кинсейл Лора)	Юная англичанка по прихоти судьбы становится принцессой маленького государства на экзотическом Востоке - и это очень не нравится коварным, искушенным в придворных интригах вельможам. Опасность поджидает ее за каждым углом, таится в каждом бокале, в каждом цветке. И не у кого просить помощи, кроме отчаянного моряка, запросившего взамен огромную плату - тело и душу принцессы. Любовь нельзя купить - это знают все. Но быть может, настоящий мужчина способен ее завоевать...		
3037	Принц полуночи	(Кинсейл Лора)	Некогда благородный разбойник, теперь живет в глуши. Но однажды к нему за помощью приходит странный гость. Этим гостем оказывается девушка, просящая помощи. Она хочет отомстить за свою семью.		
5925	Робкая магия	(Кинсейл Лора)	Юная Родерика Деламор всегда знала — дар читать чужие мысли принесет ей лишь одиночество и страдания. Кто возьмет в жены «ведьму»? Лишь тот, кого молва также не обошла стороной. Обедневший ирландский аристократ Фэлен Савигар, прозванный Дьяволом, увидел в Родерике ту, о ком страстно мечтал всю жизнь. И теперь ни земные, ни высшие силы не помешают ему завоевать сердце этой девушки!..		
864	Коснись зари	(Кицмиллер Челли)	Кто бы мог поверить, что Хеллер Пейтон, блистательная светская дама, когда-то была девчонкой из грязных трущоб и теперь готова на все, чтобы забыть о прошлом? Никто... кроме одного-единственного человека. Кроме знаменитого и отважного разбойника Хоакина Мурьеты. Лишь он сам, переживший некогда горечь потери любимой, способен понять боль Хеллер - и исцелить ее пламенным прикосновением истинной, страстной, неподдельной любви...		
4787	Счастливое недоразумение	(Клемент Синтия)	Принять молодую вдову, образец благоразумия и порядочности, за "ночную бабочку"? Сара Уэлсли возмущена! Но возмущение ее становится еще сильнее, когда она узнает, что "гнусный оскорбитель" - это недавно вернувшийся из дальнего путешествия маркиз Алекс Колдерн! Алекс всеми силами пытается загладить свою вину перед миссис Уэлсли.		
5265	Если осмелишься	(Коул Кресли)	Гордая кастильская аристократка Аннелия Лоренте презирала отчаянного шотландского воина Корта Маккаррика. А бесстрашный горец увидел в ней женщину, предназначенную ему самой судьбой. Однако согласно таинственному древнему пророчеству, той, кого Корт дерзнет полюбить всем сердцем, суждено принести ему несчастье… Но — чего стоит жизнь настоящего мужчины, если в ней нет места любви? И Корт, угадавший за холодностью Аннелии нежную и пламенную душу, готов на все, чтобы пробудить в ней ответную страсть!		
7477	Цена наслаждения	(Коул Кресли)	Десять лет назад капитан Грант Сазерленд поклялся умирающему старшему другу, что отыщет его внучку, бесследно пропавшую на островах Океании, и станет ее опекуном и защитником. Десять лет понадобилось Гранту, чтобы исполнить свою клятву - и понять, что юная Виктория Дирборн не нуждается в опекуне! Независимая, своенравная красавица хочет от Гранта не защиты и покровительства, но - любови! Страстной и пылкой любви, которую отважный моряк всегда считал слабостью - и которая теперь станет смыслом его жизни...		
927	Рыцарское слово	(Коул Кэндис)	Далекие и суровые времена... Времена, когда каждый английский замок – в руках победителей-норманнов. Времена, когда каждая английская красавица – невеста беспощадного завоевателя. Переодеться в простую крестьянку? Юная леди Адриенна полагает, что только так избежит брачного союза с жестоким и обольстительным Люсьеном. Но и крестьянка может полюбить и принять от возлюбленного клятву верности. Принять, еще не подозревая, что ее сердце пленил именно тот, кого ей следует страшиться и ненавидеть...		
